IATA_CODE,AIRLINE,Logo
UA,United Airlines, ../airline-logos/United-Airlines.jpg
AA,American Airlines, ../airline-logos/american-airlines.logo.png
US,US Airways, ../airline-logos/US-Airways-Logo.jpg
F9,Frontier Airlines, ../airline-logos/frontier-airlines.png
B6,JetBlue Airways, ../airline-logos/jetblue-logo.jpeg
OO,Skywest Airlines, ../airline-logos/SkyWest-Logo.png
AS,Alaska Airlines, ../airline-logos/alaska-airlines-logo.jpg
NK,Spirit Airines, ../airline-logos/spirit-airlines-logo.png
WN,Southwest Airlines, ../airline-logos/southwest-logo.jpeg
DL,Delta Airlines, ../airline-logos/Delta-Logo.jpg
EV,Atlantic Southeast Airlines, ../airline-logos/Atlantic-Southeast-logo.jpg
HA,Hawaiian Airlines, ../airline-logos/hawaiin-airlines.jpeg
MQ,American Eagle Airlines, ../airline-logos/american-eagle-airlines.jpg
VX,Virgin America Airlines, ../airline-logos/virgin-america-logo.jpg
FS,Fullstack Airlines, ../airline-logos/fullstack-airlines.png
